chain_id,chain_family,chain_number,display_name,standard,pitch_in,pitch_mm,strands,status,provenance,needs_review,description,application_tags,materials_available,options_upgrades,roller_dia_in,roller_dia_mm,inner_width_in,inner_width_mm,pin_dia_in,pin_dia_mm,plate_height_in,plate_height_mm,weight_lbs_ft,weight_kg_m,extra_dims_json,tensile_lbs,tensile_kn,working_load_lbs,working_load_kn,temp_min_c,temp_max_c,lubrication,perf_source,pn_tsubaki,image_url,drawing_url,uniking_notes
HP-40HP,Hollow Pin Chains,40HP,40HP Hollow Pin Chain (single pitch),ANSI B29.1 derived / Tsubaki HP,0.5,12.7,1,Active,catalog-verified,FALSE,"40HP single pitch hollow pin chain, 12.7 mm pitch, rollerless (bush only). 4 mm hollow pin bore accepts cross rods and attachment pins without welding or bolting.","hollow pin, cross rod, attachment mounting, conveyor, rollerless","Carbon Steel, Stainless Steel 304, Nickel Plated",stainless SS|nickel NP|extended cross rods|custom bore,0.312,7.92,0.313,7.95,0.224,5.68,0.472,12,0.356,0.53,"{""hollow_bore_mm"": 4.0, ""plate_thickness_mm"": 1.5}",,,,,-10,150,Standard; lube-free variant available,Tsubaki EU product pages (dims),RS40-HP,,,PKG-01d. Dims catalog-verified (tsubaki.eu). Tensile mfr-specific for hollow pin (reduced vs solid pin) — fill via cross-supplier normalization. Possible overlap with Wave C HP records: dedupe by chain_number on merge.
HP-50HP,Hollow Pin Chains,50HP,50HP Hollow Pin Chain (single pitch),ANSI B29.1 derived / Tsubaki HP,0.625,15.875,1,Active,catalog-verified,FALSE,"50HP single pitch hollow pin chain, 15.875 mm pitch, rollerless (bush only). 5.12 mm hollow pin bore accepts cross rods and attachment pins without welding or bolting.","hollow pin, cross rod, attachment mounting, conveyor, rollerless","Carbon Steel, Stainless Steel 304, Nickel Plated",stainless SS|nickel NP|extended cross rods|custom bore,0.400,10.16,0.375,9.53,0.284,7.22,0.591,15,0.578,0.86,"{""hollow_bore_mm"": 5.12, ""plate_thickness_mm"": 2.0}",,,,,-10,150,Standard; lube-free variant available,Tsubaki EU product pages (dims),RS50-HP,,,PKG-01d. Dims catalog-verified (tsubaki.eu). Tensile mfr-specific for hollow pin (reduced vs solid pin) — fill via cross-supplier normalization. Possible overlap with Wave C HP records: dedupe by chain_number on merge.
HP-60HP,Hollow Pin Chains,60HP,60HP Hollow Pin Chain (single pitch),ANSI B29.1 derived / Tsubaki HP,0.75,19.05,1,Active,catalog-verified,FALSE,"60HP single pitch hollow pin chain, 19.05 mm pitch, rollerless (bush only). 5.99 mm hollow pin bore accepts cross rods and attachment pins without welding or bolting.","hollow pin, cross rod, attachment mounting, conveyor, rollerless","Carbon Steel, Stainless Steel 304, Nickel Plated",stainless SS|nickel NP|extended cross rods|custom bore,0.469,11.91,0.500,12.7,0.330,8.38,0.713,18.1,0.853,1.27,"{""hollow_bore_mm"": 5.99, ""plate_thickness_mm"": 2.4}",,,,,-10,150,Standard; lube-free variant available,Tsubaki EU product pages (dims),RS60-HP,,,PKG-01d. Dims catalog-verified (tsubaki.eu). Tensile mfr-specific for hollow pin (reduced vs solid pin) — fill via cross-supplier normalization. Possible overlap with Wave C HP records: dedupe by chain_number on merge.
HP-80HP,Hollow Pin Chains,80HP,80HP Hollow Pin Chain (single pitch),ANSI B29.1 derived / Tsubaki HP,1,25.4,1,Active,catalog-verified,FALSE,"80HP single pitch hollow pin chain, 25.4 mm pitch, rollerless (bush only). 8.02 mm hollow pin bore accepts cross rods and attachment pins without welding or bolting.","hollow pin, cross rod, attachment mounting, conveyor, rollerless","Carbon Steel, Stainless Steel 304, Nickel Plated",stainless SS|nickel NP|extended cross rods|custom bore,0.625,15.88,0.625,15.88,0.448,11.38,0.949,24.1,1.445,2.15,"{""hollow_bore_mm"": 8.02, ""plate_thickness_mm"": 3.2}",,,,,-10,150,Standard; lube-free variant available,Tsubaki EU product pages (dims),RS80-HP,,,PKG-01d. Dims catalog-verified (tsubaki.eu). Tensile mfr-specific for hollow pin (reduced vs solid pin) — fill via cross-supplier normalization. Possible overlap with Wave C HP records: dedupe by chain_number on merge.
HP-C2040HP,Hollow Pin Chains,C2040HP,"C2040HP Double Pitch Hollow Pin Chain (S bush, rollerless)",ASME B29.100 derived / Tsubaki HP,1,25.4,1,Active,catalog-verified,FALSE,"C2040HP double pitch hollow pin chain, 25.4 mm pitch, S bush (rollerless). 4 mm hollow pin bore accepts cross rods and attachment pins; flat double pitch plates for long-span conveyance.","hollow pin, double pitch, cross rod, attachment mounting, conveyor","Carbon Steel, Stainless Steel 304, Nickel Plated",stainless SS|nickel NP|extended cross rods|custom bore,0.312,7.92,0.313,7.95,0.224,5.68,0.472,12,0.309,0.46,"{""hollow_bore_mm"": 4.0, ""plate_thickness_mm"": 1.5}",,,,,-10,150,Standard; lube-free variant available,Tsubaki EU product pages (dims),RF2040S-HP,,,PKG-01d. Dims catalog-verified (tsubaki.eu). Tensile mfr-specific for hollow pin — fill via cross-supplier normalization. Possible overlap with Wave C HP records: dedupe by chain_number on merge.
HP-C2042HP,Hollow Pin Chains,C2042HP,C2042HP Double Pitch Hollow Pin Chain (R roller),ASME B29.100 derived / Tsubaki HP,1,25.4,1,Active,catalog-verified,FALSE,"C2042HP double pitch hollow pin chain, 25.4 mm pitch, R roller. 4 mm hollow pin bore accepts cross rods and attachment pins; flat double pitch plates for long-span conveyance.","hollow pin, double pitch, cross rod, attachment mounting, conveyor","Carbon Steel, Stainless Steel 304, Nickel Plated",stainless SS|nickel NP|extended cross rods|custom bore,0.625,15.88,0.313,7.95,0.224,5.68,0.472,12,0.551,0.82,"{""hollow_bore_mm"": 4.0, ""plate_thickness_mm"": 1.5}",,,,,-10,150,Standard; lube-free variant available,Tsubaki EU product pages (dims),RF2040R-HP,,,PKG-01d. Dims catalog-verified (tsubaki.eu). Tensile mfr-specific for hollow pin — fill via cross-supplier normalization. Possible overlap with Wave C HP records: dedupe by chain_number on merge.
HP-C2050HP,Hollow Pin Chains,C2050HP,"C2050HP Double Pitch Hollow Pin Chain (S bush, rollerless)",ASME B29.100 derived / Tsubaki HP,1.25,31.75,1,Active,catalog-verified,FALSE,"C2050HP double pitch hollow pin chain, 31.75 mm pitch, S bush (rollerless). 5.12 mm hollow pin bore accepts cross rods and attachment pins; flat double pitch plates for long-span conveyance.","hollow pin, double pitch, cross rod, attachment mounting, conveyor","Carbon Steel, Stainless Steel 304, Nickel Plated",stainless SS|nickel NP|extended cross rods|custom bore,0.400,10.16,0.375,9.53,0.284,7.22,0.591,15,0.504,0.75,"{""hollow_bore_mm"": 5.12, ""plate_thickness_mm"": 2.0}",,,,,-10,150,Standard; lube-free variant available,Tsubaki EU product pages (dims),RF2050S-HP,,,PKG-01d. Dims catalog-verified (tsubaki.eu). Tensile mfr-specific for hollow pin — fill via cross-supplier normalization. Possible overlap with Wave C HP records: dedupe by chain_number on merge.
HP-C2052HP,Hollow Pin Chains,C2052HP,C2052HP Double Pitch Hollow Pin Chain (R roller),ASME B29.100 derived / Tsubaki HP,1.25,31.75,1,Active,catalog-verified,FALSE,"C2052HP double pitch hollow pin chain, 31.75 mm pitch, R roller. 5.12 mm hollow pin bore accepts cross rods and attachment pins; flat double pitch plates for long-span conveyance.","hollow pin, double pitch, cross rod, attachment mounting, conveyor","Carbon Steel, Stainless Steel 304, Nickel Plated",stainless SS|nickel NP|extended cross rods|custom bore,0.750,19.05,0.375,9.53,0.284,7.22,0.591,15,0.813,1.21,"{""hollow_bore_mm"": 5.12, ""plate_thickness_mm"": 2.0}",,,,,-10,150,Standard; lube-free variant available,Tsubaki EU product pages (dims),RF2050R-HP,,,PKG-01d. Dims catalog-verified (tsubaki.eu). Tensile mfr-specific for hollow pin — fill via cross-supplier normalization. Possible overlap with Wave C HP records: dedupe by chain_number on merge.
HP-C2060HP,Hollow Pin Chains,C2060HP,"C2060HP Double Pitch Hollow Pin Chain (S bush, rollerless)",ASME B29.100 derived / Tsubaki HP,1.5,38.1,1,Active,catalog-verified,FALSE,"C2060HP double pitch hollow pin chain, 38.1 mm pitch, S bush (rollerless). 5.99 mm hollow pin bore accepts cross rods and attachment pins; flat double pitch plates for long-span conveyance.","hollow pin, double pitch, cross rod, attachment mounting, conveyor","Carbon Steel, Stainless Steel 304, Nickel Plated",stainless SS|nickel NP|extended cross rods|custom bore,0.469,11.91,0.500,12.7,0.330,8.38,0.677,17.2,0.927,1.38,"{""hollow_bore_mm"": 5.99, ""plate_thickness_mm"": 2.4}",,,,,-10,150,Standard; lube-free variant available,Tsubaki EU product pages (dims),RF2060S-HP,,,PKG-01d. Dims catalog-verified (tsubaki.eu). Tensile mfr-specific for hollow pin — fill via cross-supplier normalization. Possible overlap with Wave C HP records: dedupe by chain_number on merge.
HP-C2062HP,Hollow Pin Chains,C2062HP,C2062HP Double Pitch Hollow Pin Chain (R roller),ASME B29.100 derived / Tsubaki HP,1.5,38.1,1,Active,catalog-verified,FALSE,"C2062HP double pitch hollow pin chain, 38.1 mm pitch, R roller. 5.99 mm hollow pin bore accepts cross rods and attachment pins; flat double pitch plates for long-span conveyance.","hollow pin, double pitch, cross rod, attachment mounting, conveyor","Carbon Steel, Stainless Steel 304, Nickel Plated",stainless SS|nickel NP|extended cross rods|custom bore,0.875,22.23,0.500,12.7,0.330,8.38,0.677,17.2,1.384,2.06,"{""hollow_bore_mm"": 5.99, ""plate_thickness_mm"": 2.4}",,,,,-10,150,Standard; lube-free variant available,Tsubaki EU product pages (dims),RF2060R-HP,,,PKG-01d. Dims catalog-verified (tsubaki.eu). Tensile mfr-specific for hollow pin — fill via cross-supplier normalization. Possible overlap with Wave C HP records: dedupe by chain_number on merge.
